SOC,Title,Task
29-1069.08,Physical Medicine and Rehabilitation Physicians,Diagnose or treat performance-related conditions such as sports injuries or repetitive motion injuries.
29-1069.08,Physical Medicine and Rehabilitation Physicians,"Develop comprehensive plans for immediate and long-term rehabilitation including therapeutic exercise; speech and occupational therapy; counseling; cognitive retraining; patient, family or caregiver education; or community reintegration."
29-1069.08,Physical Medicine and Rehabilitation Physicians,Prescribe physical therapy to relax the muscles and improve strength.
29-1069.08,Physical Medicine and Rehabilitation Physicians,Coordinate physical medicine and rehabilitation services with other medical activities.
29-1069.08,Physical Medicine and Rehabilitation Physicians,"Consult or coordinate with other rehabilitative professionals including physical and occupational therapists, rehabilitation nurses, speech pathologists, neuropsychologists, behavioral psychologists, social workers, or medical technicians."
29-1069.08,Physical Medicine and Rehabilitation Physicians,"Perform electrodiagnosis including electromyography, nerve conduction studies, or somatosensory evoked potentials of neuromuscular disorders or damage."
29-1069.08,Physical Medicine and Rehabilitation Physicians,"Prescribe therapy services, such as electrotherapy, ultrasonography, heat or cold therapy, hydrotherapy, debridement, short-wave or microwave diathermy, and infrared or ultraviolet radiation, to enhance rehabilitation."
29-1069.08,Physical Medicine and Rehabilitation Physicians,"Prescribe orthotic and prosthetic applications and adaptive equipment, such as wheelchairs, bracing, or communication devices, to maximize patient function and self-sufficiency."
29-1069.08,Physical Medicine and Rehabilitation Physicians,"Provide inpatient or outpatient medical management of neuromuscular disorders, musculoskeletal trauma, acute and chronic pain, deformity or amputation, cardiac or pulmonary disease, or other disabling conditions."
29-1069.09,Preventive Medicine Physicians,Teach or train medical staff regarding preventive medicine issues.
29-1069.09,Preventive Medicine Physicians,Document or review comprehensive patients' histories with an emphasis on occupation or environmental risks.
29-1069.09,Preventive Medicine Physicians,"Prepare preventive health reports, including problem descriptions, analyses, alternative solutions, and recommendations."
29-1069.09,Preventive Medicine Physicians,"Supervise or coordinate the work of physicians, nurses, statisticians, or other professional staff members."
29-1069.09,Preventive Medicine Physicians,Deliver presentations to lay or professional audiences.
29-1069.09,Preventive Medicine Physicians,Evaluate the effectiveness of prescribed risk reduction measures or other interventions.
29-1069.09,Preventive Medicine Physicians,Identify groups at risk for specific preventable diseases or injuries.
29-1069.09,Preventive Medicine Physicians,"Design or use surveillance tools, such as screening, lab reports, and vital records, to identify health risks."
29-1069.09,Preventive Medicine Physicians,"Direct public health education programs dealing with topics such as preventable diseases, injuries, nutrition, food service sanitation, water supply safety, sewage and waste disposal, insect control, and immunizations."
29-1069.09,Preventive Medicine Physicians,Perform epidemiological investigations of acute and chronic diseases.
29-1069.09,Preventive Medicine Physicians,Develop or implement interventions to address behavioral causes of diseases.
29-1069.09,Preventive Medicine Physicians,"Direct or manage prevention programs in specialty areas such as aerospace, occupational, infectious disease, and environmental medicine."
29-1069.09,Preventive Medicine Physicians,"Design, implement, or evaluate health service delivery systems to improve the health of targeted populations."
29-1069.09,Preventive Medicine Physicians,"Coordinate or integrate the resources of health care institutions, social service agencies, public safety workers, or other organizations to improve community health."
29-1069.09,Preventive Medicine Physicians,"Provide information about potential health hazards and possible interventions to the media, the public, other health care professionals, or local, state, and federal health authorities."
29-1069.10,Radiologists,"Implement protocols in areas such as drugs, resuscitation, emergencies, power failures, or infection control."
29-1069.10,Radiologists,"Treat malignant internal or external growths by exposure to radiation from radiographs (x-rays), high energy sources, or natural or synthetic radioisotopes."
29-1069.10,Radiologists,Serve as an offsite teleradiologist for facilities that do not have on-site radiologists.
29-1069.10,Radiologists,Provide advice on types or quantities of radiology equipment needed to maintain facilities.
29-1069.10,Radiologists,Participate in research projects involving radiology.
29-1069.10,Radiologists,Participate in quality improvement activities including discussions of areas where risk of error is high.
29-1069.10,Radiologists,Supervise and teach residents or medical students.
29-1069.10,Radiologists,Schedule examinations and assign radiologic personnel.
29-1069.10,Radiologists,Participate in continuing education activities to maintain and develop expertise.
29-1069.10,Radiologists,Develop treatment plans for radiology patients.
29-1069.10,Radiologists,Establish or enforce standards for protection of patients or personnel.
29-1069.10,Radiologists,"Administer radiopaque substances by injection, orally, or as enemas to render internal structures and organs visible on x-ray films or fluoroscopic screens."
29-1069.10,Radiologists,Administer or maintain conscious sedation during and after procedures.
29-1069.10,Radiologists,Review or transmit images and information using picture archiving or communications systems.
29-1069.10,Radiologists,Interpret images using computer-aided detection or diagnosis systems.
29-1069.10,Radiologists,"Recognize or treat complications during and after procedures, including blood pressure problems, pain, oversedation, or bleeding."
29-1069.10,Radiologists,Prepare comprehensive interpretive reports of findings.
29-1069.10,Radiologists,"Obtain patients' histories from electronic records, patient interviews, dictated reports, or by communicating with referring clinicians."
